"label","key_value","condition_value","sort_order"
"Unknown - Single species","UNK-","","0"
"Wood","wood","","1"
"Litter","litter","","2"
"Annual grass","ANNUGRAS","","3"
"Abronia angustifolia","ABROANGU","","4"
"Astrolepis sinuata","ASTRSINU","","5"
"Abronia fragrans","ABROFRAG","","6"
"Abutilon malacum","ABUTMALA","","7"
"Abutilon parvulum","ABUTPARV","","8"
"Acacia constricta","ACACCONS","","9"
"Acacia neovernicosa","ACACNEOV","","10"
"Acalypha neomexicana","ACALNEOM","","11"
"Acanthochiton wrightii","ACANWRIG","","12"
"Achillea millefolium - Yarrow","ACHIMILL","","13"
"Achnatherum eminens","ACHNEMIN","","14"
"Achnatherum hymenoides","ACHNHYME","","15"
"Achyrachaena mollis","ACHYMOLL","","16"
"Acleisanthes chenopodioides","ACLECHEN","","17"
"Acleisanthes diffusus","ACLEDIFF","","18"
"Acmispon americanus","ACMIAMER","","19"
"Acmispon brachycarpus","ACMIBRAC","","20"
"Acmispon glaber - Deerweed","ACMIGLAB","","21"
"Acmispon strigosus","ACMISTRI","","22"
"Acmispon wrangelianus","ACMIWRAN","","23"
"Acourtia microcephela","ACOUMICR","","24"
"Acourtia nana","ACOUNANA","","25"
"Acourtia wrightii","ACOUWRIG","","26"
"Adenostoma fasciculatum","ADENFASC","","27"
"Agastache cana","AGASCANA","","28"
"Agave parryi","AGAVPARR","","29"
"Agoseris heterophylla","AGOSHETE","","30"
"Allionia choisyi","ALLICHOI","","31"
"Allionia incarnata","ALLIINCA","","32"
"Allium macropetalum","ALLIMACR","","33"
"Aloina rigida","ALOIRIGI","","34"
"Aloysia wrightii","ALOYWRIG","","35"
"Amaranthus albus","AMARALBU","","36"
"Amaranthus blitoides","AMARBLIT","","37"
"Amaranthus crassipes","AMARCRAS","","38"
"Amaranthus fimbriatus","AMARFIMB","","39"
"Amaranthus palmeri","AMARPALM","","40"
"Ambrosia acanthicarpa - Flatspine Bursage","AMBRACAN","","41"
"Ambrosia artemisiifolia","AMBRARTE","","42"
"Ambrosia chamissonis","AMBRCHAM","","43"
"Ambrosia psilostachya","AMBRPSIL","","44"
"Ambrosia salsola - Cheesebush","AMBRSALS","","45"
"Amorpha fruticosa","AMORFRUT","","46"
"Amsinckia intermedia","AMSIINTE","","47"
"Amsinckia menziesii - Fiddleneck","AMSIMENZ","","48"
"Amsonia tomentosa","AMSOTOME","","49"
"Anemopsis californica","ANEMCALI","","50"
"Anoda cristata","ANODCRIS","","51"
"Aphanostephus ramosissimus","APHARAMO","","52"
"Apodanthera undulata","APODUNDU","","53"
"Argemone pleiacantha","ARGEPLEI","","54"
"Aristida adscensionis","ARISADSC","","55"
"Aristida havardii","ARISHAVA","","56"
"Aristida pansa","ARISPANS","","57"
"Aristida purpurea","ARISPURP","","58"
"Aristida schiedeana","ARISSCHI","","59"
"Aristida ternipes","ARISTERN","","60"
"Artemisia californica - California sagebrush","ARTECALI","","61"
"Artemisia campestris","ARTECAMP","","62"
"Artemisia douglasiana","ARTEDOUG","","63"
"Artemisia dracunculus","ARTEDRAC","","64"
"Artemisia filifolia","ARTEFILI","","65"
"Artemisia ludoviciana","ARTELUDO","","66"
"Artemisia tridentata - Big Sagebrush","ARTETRID","","67"
"Asclepias asperula","ASCLASPE","","68"
"Asclepias brachystephana","ASCLBRAC","","69"
"Asclepias nyctaginifolia","ASCLNYCT","","70"
"Asclepias subverticillata","ASCLSUBV","","71"
"Asparagus officinalis","ASPAOFFI","","72"
"Astragalus allochrous","ASTRALLO","","73"
"Astragalus crassicarpus","ASTRCRAS","","74"
"Astragalus gambelianus","ASTRGAMB","","75"
"Astragalus mollissimus","ASTRMOLL","","76"
"Astragalus nuttallianus","ASTRNUTT","","77"
"Astragalus tephrodes","ASTRTEPH","","78"
"Atriplex canescens","ATRICANE","","79"
"Atriplex confertifolia - Shadescale Saltbush","ATRICONF","","80"
"Atriplex rosea","ATRIROSE","","81"
"Atriplex polycarpa - Cattle Saltbush","ATRIPOLY","","82"
"Avena barbata - Slender oat","AVENBARB","","83"
"Avena fatua - Wild oat","AVENFATU","","84"
"Ayenia pilosa","AYENPILO","","85"
"Bacchairs salicifolia - Mule fat","BACCSALI","","86"
"Baccharis pilularis - Coyote brush","BACCPILU","","87"
"Baccharis pteronioides","BACCPTER","","88"
"Baccharis salicina","BACCSALIC","","89"
"Bahia absinthifolia","BAHIABSI","","90"
"Bahia biternata","BAHIBITE","","91"
"Bahia pedata","BAHIPEDA","","92"
"Baileya multiradiata","BAILMULT","","93"
"Berberis haematocarpa","BERBHAEM","","94"
"Berlandiera lyrata","BERLLYRA","","95"
"Bidens heterosperma","BIDEHETE","","96"
"Boerhavia coccinea","BOERCOCC","","97"
"Boerhavia coulteri","BOERCOUL","","98"
"Boerhavia gracillima","BOERGRAC","","99"
"Boerhavia intermedia","BOERINTE","","100"
"Boerhavia spicata","BOERSPIC","","101"
"Boerhavia torreyana","BOERTORR","","102"
"Boerhavia wrightii","BOERWRIG","","103"
"Bothriochloa barbinodis","BOTHBARB","","104"
"Bothriochloa ischaemum","BOTHISCH","","105"
"Bothriochloa laguroides","BOTHLAGU","","106"
"Bothriochloa springfieldii","BOTHSPRI","","107"
"Bouteloua aristidoides","BOUTARIS","","108"
"Bouteloua barbata","BOUTBARB","","109"
"Bouteloua curtipendula","BOUTCURT","","110"
"Bouteloua eriopoda","BOUTERIO","","111"
"Bouteloua gracilis","BOUTGRAC","","112"
"Bouteloua hirsuta","BOUTHIRS","","113"
"Bouteloua parryi","BOUTPARR","","114"
"Bowlesia incana","BOWLINCA","","115"
"Brassica nigra - Black mustard","BRASNIGR","","116"
"Brassica tournefortii","BRASTOUR","","117"
"Brickellia californica","BRICCALI","","118"
"Brickellia eupatorioides","BRICEUPA","","119"
"Brickellia floribunda","BRICFLOR","","120"
"Brickellia laciniata","BRICLACI","","121"
"Bromus catharticus","BROMCATH","","122"
"Bromus diandrus - Ripgut brome","BROMDIAN","","123"
"Bromus hordeaceus","BROMHORD","","124"
"Bromus madritensis madritensis","BROMMADR","","125"
"Bromus madritensis rubens","BROMMADRR","","126"
"Bromus sitchsis var. carinatus - California brome","BROMSITC","","127"
"Bromus tectorum","BROMTECT","","128"
"Bryum argenteum","BRYUARGE","","129"
"Bulk sample","BULKSAMP","","130"
"Calandrinia menzieszii - Red maids","CALAMENZ","","131"
"Calliandra humilis","CALLHUMI","","132"
"Calycoseris wrightii","CALYWRIG","","133"
"Calystegia macrostegia","CALYMACR","","134"
"Carduus pycnocephalus - Italian thistle","CARDPYCN","","135"
"Carex barbarae","CAREBARB","","136"
"Carlowrightia linearifolia","CARLLINE","","137"
"Carpobrotus edulis - Iceplant","CARPEDUL","","138"
"Castilleja densiflora - Dense flower owl's clover","CASTDENS","","139"
"Castilleja exserta - owl's clover","CASTEXSE","","140"
"Ceanothus cuneatus","CEANCUNE","","141"
"Ceanothus greggii","CEANGREG","","142"
"Celtis reticulata","CELTRETI","","143"
"Cenchrus longispinus","CENCLONG","","144"
"Cenchrus spinifex","CENCSPIN","","145"
"Centaurea americana","CENTAMER","","146"
"Centaurea melitensis","CENTMELI","","147"
"Cerastium glomeratum","CERAGLOM","","148"
"Cevallia sinuata","CEVASINU","","149"
"Chaenactis stevioides","CHAESTEV","","150"
"Chaetopappa ericoides","CHAEERIC","","151"
"Chamaesaracha coronopus","CHAMCORO","","152"
"Chamaesaracha sordida","CHAMSORD","","153"
"Chamaesyce albomarginata","CHAMALBO","","154"
"Chamaesyce glyptosperma","CHAMGLYP","","155"
"Chamaesyce micromera","CHAMMICR","","156"
"Chamaesyce parryi","CHAMPARR","","157"
"Chamaesyce revoluta","CHAMREVO","","158"
"Chamaesyce serpyllifolia","CHAMSERP","","159"
"Chamaesyce serrula","CHAMSERR","","160"
"Chamaesyce setiloba","CHAMSETI","","161"
"Cheilanthes lindheimeri","CHEILIND","","162"
"Cheilanthes tomentosa","CHEITOME","","163"
"Chenopodium album","CHENALBU","","164"
"Chenopodium berlandieri","CHENBERL","","165"
"Chenopodium californicum","CHENCALI","","166"
"Chenopodium dessicatum","CHENDESS","","167"
"Chenopodium incanum","CHENINCA","","168"
"Chenopodium leptophyllum","CHENLEPT","","169"
"Chenopodium murale","CHENMURA","","170"
"Chilopsis linearis","CHILLINE","","171"
"Chloracantha spinosa","CHLOSPIN","","172"
"Chloris virgata","CHLOVIRG","","173"
"Chlorogalum pomeridianum","CHLOPOME","","174"
"Chorizanthe palmeri","CHORPALM","","175"
"Chrysactinia mexicana","CHRYMEXI","","176"
"Chrysothamnus pulchellus","CHRYPULC","","177"
"Cirsium occidentale","CIRSOCCI","","178"
"Cirsium ochrocentrum","CIRSOCHR","","179"
"Clarkia cylindrica","CLARCYLI","","180"
"Clarkia purpurea","CLARPURP","","181"
"Claytonia perfoliata - Miner's lettuce","CLAYPERF","","182"
"Clematis drummondii","CLEMDRUM","","183"
"Clematis ligusticifolia","CLEMLIGU","","184"
"Collinsia heterophylla","COLLHETE","","185"
"Comandra umbellata","COMAUMBE","","186"
"Commelina erecta","COMMEREC","","187"
"Commicarpus scandens","COMMSCAN","","188"
"Condalia warnockii","CONDWARN","","189"
"Convolvulus equitans","CONVEQUI","","190"
"Conyza canadensis","CONYCANA","","191"
"Corethrogyne filaginifolia","COREFILA","","192"
"Corispermum americanum","CORIAMER","","193"
"Corydalis aurea","CORYAURE","","194"
"Coryphantha macromeris","CORYMACR","","195"
"Coryphantha robustispina","CORYROBU","","196"
"Crassula connata","CRASCONN","","197"
"Cressa truxillensis","CRESTRUX","","198"
"Croton fruticulosus","CROTFRUT","","199"
"Croton pottsii","CROTPOTT","","200"
"Croton setiger","CROTSETI","","201"
"Cryptantha angustifolia","CRYPANGU","","202"
"Cryptantha barbigera","CRYPBARB","","203"
"Cryptantha cinerea","CRYPCINE","","204"
"Cryptantha crassisepala","CRYPCRAS","","205"
"Cryptantha intermedia","CRYPINTE","","206"
"Cryptantha micrantha","CRYPMICR","","207"
"Cryptantha pterocarya","CRYPPTER","","208"
"Cryptantha pusilla","CRYPPUSI","","209"
"Cucurbita foetidissima","CUCUFOET","","210"
"Cuscuta salina","CUSCSALI","","211"
"Cuscuta umbellata","CUSCUMBE","","212"
"Cyclachaena xanthiifolia","CYCLXANT","","213"
"Cycloloma atriplicifolium","CYCLATRI","","214"
"Cylindropuntia imbricata","CYLIIMBR","","215"
"Cylindropuntia leptocaulis","CYLILEPT","","216"
"Cylindropuntia spinosior","CYLISPIN","","217"
"Cynodon dactylon","CYNODACT","","218"
"Cyperus esculentus","CYPEESCU","","219"
"Cyperus retroflexus","CYPERETR","","220"
"Cyphomeris gypsophiloides","CYPHGYPS","","221"
"Dalea cylindriceps","DALECYLI","","222"
"Dalea formosa","DALEFORM","","223"
"Dalea lanata","DALELANA","","224"
"Dalea nana","DALENANA","","225"
"Dalea pogonathera","DALEPOGO","","226"
"Dasylirion wheeleri","DASYWHEE","","227"
"Dasyochloa pulchella","DASYPULC","","228"
"Datura quercifolia","DATUQUER","","229"
"Datura wrightii","DATUWRIG","","230"
"Daucus pusillus - American wild carrot","DAUCPUSI","","231"
"Deinandra increscens","DEININCR","","232"
"Delphinium wootonii","DELPWOOT","","233"
"Descurainia pinnata","DESCPINN","","234"
"Desmanthus cooleyi","DESMCOOL","","235"
"Desmatodon convolutus","DESMCONV","","236"
"Desmatodon guepinii","DESMGUEP","","237"
"Desmatodon plinthobius","DESMPLIN","","238"
"Dichelostemma capitatum - Blue dicks","DICHCAPI","","239"
"Didymodon rigidulus","DIDYRIGI","","240"
"Dieteria canescens","DIETCANE","","241"
"Digitaria californica","DIGICALI","","242"
"Digitaria pubiflora","DIGIPUBI","","243"
"Dimorphocarpa wislizeni","DIMOWISL","","244"
"Distichlis spicata","DISTSPIC","","245"
"Draba cuneifolia","DRABCUNE","","246"
"Drymaria pachyphylla","DRYMPACH","","247"
"Dryopetalon runcinatum","DRYORUNC","","248"
"Dyssodia papposa","DYSSPAPP","","249"
"Echinocactus horizonthalonius","ECHIHORI","","250"
"Echinocereus coccineus","ECHICOCC","","251"
"Echinocereus fendleri","ECHIFEND","","252"
"Echinocereus pectinatus","ECHIPECT","","253"
"Echinocereus stramineus","ECHISTRA","","254"
"Echinocereus triglochidiatus","ECHITRIG","","255"
"Echinochloa colona","ECHICOLO","","256"
"Echinochloa crusgallii","ECHICRUS","","257"
"Echinomastus intertextus","ECHIINTE","","258"
"Elymus condensatus - Giant wild rye","ELYMCOND","","259"
"Elymus glaucus - Blue wild rye","ELYMGLAU","","260"
"Elymus smithii","ELYMSMIT","","261"
"Elymus triticoides - Beardless wild rye","ELYMTRIT","","262"
"Encelia californica - California brittlebrush","ENCECALI","","263"
"Enneapogon desvauxii","ENNEDESV","","264"
"Ephedra californica - Mormon tea","EPHECALI","","265"
"Ephedra torreyana","EPHETORR","","266"
"Ephedra trifurca","EPHETRIF","","267"
"Epilobium brachycarpum","EPILBRAC","","268"
"Equisetum hyemale","EQUIHYEM","","269"
"Eragrostis cilianensis","ERAGCILI","","270"
"Eragrostis curvula","ERAGCURV","","271"
"Eragrostis erosa","ERAGEROS","","272"
"Eragrostis intermedia","ERAGINTE","","273"
"Eragrostis lehmanniana","ERAGLEHM","","274"
"Eragrostis pectinacea","ERAGPECT","","275"
"Eremothera chamaenerioides","EREMCHAM","","276"
"Eriastrum diffusum","ERIADIFF","","277"
"Ericameria laricifolia","ERICLARI","","278"
"Erigeron bellidiastrum","ERIGBELL","","279"
"Erigeron divergens","ERIGDIVE","","280"
"Erigeron foliosus","ERIGFOLI","","281"
"Erigeron modestus","ERIGMODE","","282"
"Erigeron tracyi","ERIGTRAC","","283"
"Eriochloa acuminata","ERIOACUM","","284"
"Eriodictyon crassifolium - Thick-leaved yerba santa","ERIOCRAS","","285"
"Eriogonum abertianum","ERIOABER","","286"
"Eriogonum annuum","ERIOANNU","","287"
"Eriogonum cernuum","ERIOCERN","","288"
"Eriogonum elonongatum - Longstem buckwheat","ERIOELON","","289"
"Eriogonum fasciculatum - California buckwheat","ERIOFASC","","290"
"Eriogonum jamesii","ERIOJAME","","291"
"Eriogonum rotundifolium","ERIOROTU","","292"
"Eriogonum trichopes","ERIOTRIC","","293"
"Eriogonum wrightii","ERIOWRIG","","294"
"Erioneuron nealleyi","ERIONEAL","","295"
"Eriophyllum confertiflorum","ERIOCONF","","296"
"Erodium botrys","ERODBOTR","","297"
"Erodium cicutarium","ERODCICU","","298"
"Erodium moschatum","ERODMOSC","","299"
"Erodium sp.","ERODSP.","","300"
"Erodium texanum","ERODTEXA","","301"
"Erysimum capitatum","ERYSCAPI","","302"
"Eschscholzia californica - California poppy","ESCHCALI","","303"
"Escobaria vivipara","ESCOVIVI","","304"
"Eucrypta micrantha","EUCRMICR","","305"
"Euphorbia davidii","EUPHDAVI","","306"
"Evolvulus alsinoides","EVOLALSI","","307"
"Evolvulus nuttallianus","EVOLNUTT","","308"
"Evolvulus sericeus","EVOLSERI","","309"
"Fabronia ciliaris","FABRCILI","","310"
"Fallugia paradoxa","FALLPARA","","311"
"Ferocactus wislizeni","FEROWISL","","312"
"Festuca microstachys","FESTMICR","","313"
"Festuca octoflora","FESTOCTO","","314"
"Festuca perennis","FESTPERE","","315"
"Festuca rubra","FESTRUBR","","316"
"Festuca tementula","FESTTEME","","317"
"Fissidens littlei","FISSLITT","","318"
"Flourensia cernua","FLOUCERN","","319"
"Forestiera pubescens","FOREPUBE","","320"
"Fouquieria splendens","FOUQSPLE","","321"
"Frangula californica - California coffeeberry","FRANCALI","","322"
"Froelichia arizonica","FROEARIZ","","323"
"Froelichia floridana","FROEFLOR","","324"
"Gaillardia pinnatifida","GAILPINN","","325"
"Gaillardia pulchella","GAILPULC","","326"
"Galium andrewsii - Phlox leaved bedstraw","GALIANDR","","327"
"Galium aparine - Common bedstraw","GALIAPAR","","328"
"Galium microphyllum","GALIMICR","","329"
"Galium nuttallii","GALINUTT","","330"
"Galium porrigens - Climbing bedstraw","GALIPORR","","331"
"Garrya wrightii","GARRWRIG","","332"
"Gastridium phleoides","GASTPHLE","","333"
"Gaura coccinea","GAURCOCC","","334"
"Geranium dissectum","GERADISS","","335"
"Geranium molle","GERAMOLL","","336"
"Gilia capitata","GILICAPI","","337"
"Gilia flavocincta","GILIFLAV","","338"
"Gilia mexicana","GILIMEXI","","339"
"Gilia sinuata","GILISINU","","340"
"Glandularia bipinnatifida","GLANBIPI","","341"
"Gleditsia triacanthos","GLEDTRIA","","342"
"Glycyrrhiza lepidota","GLYCLEPI","","343"
"Grimmia pulvinata","GRIMPULV","","344"
"Grindelia squarrosa","GRINSQUA","","345"
"Guilleminea densa","GUILDENS","","346"
"Gutierrezia microcephala","GUTIMICR","","347"
"Gutierrezia sarothrae","GUTISARO","","348"
"Gutierrezia sphaerocephala","GUTISPHA","","349"
"Gutierrezia texana","GUTITEXA","","350"
"Halogeton glomeratus - Saltlover","HALOGLOM","","351"
"Haplophyton crooksii","HAPLCROO","","352"
"Hazardia squarrosa - Sawtooth goldenbush","HAZASQUA","","353"
"Hedeoma nana","HEDENANA","","354"
"Hedosyne ambrosiifolia","HEDOAMBR","","355"
"Helianthus annuus","HELIANNU","","356"
"Helianthus ciliaris","HELICILI","","357"
"Helianthus petiolaris","HELIPETI","","358"
"Heliotropium convolvulaceum","HELICONV","","359"
"Heliotropium curassavicum","HELICURA","","360"
"Heliotropium greggii","HELIGREG","","361"
"Herissantia crispa","HERICRIS","","362"
"Hesperocyparis macrocarpa","HESPMACR","","363"
"Hesperoyucca whipplei","HESPWHIP","","364"
"Heteromeles arbutifolia - Toyon","HETEARBU","","365"
"Heteropogon contortus","HETECONT","","366"
"Heterotheca canescens","HETECANE","","367"
"Heterotheca fulcrata","HETEFULC","","368"
"Hibiscus denudatus","HIBIDENU","","369"
"Hirschfeldia incana","HIRSINCA","","370"
"Hoffmannseggia drepanocarpa","HOFFDREP","","371"
"Hoffmannseggia glauca","HOFFGLAU","","372"
"Hordeum brachyantherum","HORDBRAC","","373"
"Hordeum murinum","HORDMURI","","374"
